#,simulations,time_usage,result,std_err,rho
0,2560,68.1037,0.62886,0.241752,-1
1,2560,71.02,0.357807,0.0942576,-0.95
2,2560,70.8566,0.152001,0.0382356,-0.9
3,2560,73.4658,0.361278,0.160512,-0.85
4,2560,75.703,0.387135,0.175358,-0.8
5,2560,77.9581,0.62506,0.272438,-0.75
6,2560,73.7542,0.177104,0.0476492,-0.7
7,2560,72.1497,0.190272,0.0613454,-0.65
8,2560,72.8539,0.200957,0.0584931,-0.6
9,2560,73.0106,0.261539,0.079101,-0.55
10,2560,73.8059,0.221748,0.0634062,-0.5
11,2560,75.0899,0.240475,0.0677609,-0.45
12,2560,74.6364,0.416823,0.0992611,-0.4
13,2560,75.1988,0.643437,0.214988,-0.35
14,2560,76.6764,0.344745,0.107878,-0.3
15,2560,76.8474,0.577483,0.208744,-0.25
16,2560,75.2634,0.609623,0.25211,-0.2
17,2560,75.2293,0.805108,0.235285,-0.15
18,2560,74.9243,1.20557,0.444221,-0.1
19,2560,77.0716,2.14665,1.43329,-0.05
20,2560,75.706,3.15495,2.04557,3.19189e-16
21,2560,76.3342,0.848898,0.402413,0.05
22,2560,76.9092,0.317419,0.0773744,0.1
23,2560,77.1968,0.67945,0.205025,0.15
24,2560,74.6447,3.12109,1.58846,0.2
25,2560,76.2751,0.556369,0.174607,0.25
26,2560,75.0632,0.45546,0.169049,0.3
27,2560,77.86,0.515517,0.129426,0.35
28,2560,77.2333,1.19265,0.708994,0.4
29,2560,76.2261,0.431664,0.250414,0.45
30,2560,75.7731,0.251925,0.0704902,0.5
31,2560,75.5211,0.122296,0.0260484,0.55
32,2560,75.1891,0.234509,0.0907033,0.6
33,2560,75.8895,0.0585492,0.0150932,0.65
34,2560,75.8415,0.0466222,0.0103665,0.7
35,2560,76.3207,0.117732,0.0624881,0.75
36,2560,74.6962,0.151712,0.0501655,0.8
37,2560,76.3594,0.0515964,0.0125994,0.85
38,2560,75.3005,0.068354,0.0171298,0.9
39,2560,72.946,0.192023,0.0825087,0.95
