#,simulations,time_usage,result,std_err,r
0,25600,52.1609,0.440912,0.00850626,0.05
1,25600,52.2146,0.446449,0.00848323,0.06
2,25600,53.1553,0.460392,0.00903421,0.07
3,25600,55.7018,0.436303,0.00827422,0.08
4,25600,56.1535,0.456849,0.00850633,0.09
5,25600,55.9206,0.473488,0.00907374,0.1
6,25600,55.4107,0.480358,0.00923641,0.11
7,25600,55.4608,0.470543,0.0086729,0.12
8,25600,55.3666,0.483784,0.00913277,0.13
9,25600,53.3969,0.479936,0.0100833,0.14
10,25600,52.1289,0.484014,0.00892756,0.15
11,25600,53.1044,0.482815,0.00933248,0.16
12,25600,52.5636,0.473701,0.00841688,0.17
13,25600,52.8924,0.490683,0.00894717,0.18
14,25600,52.7636,0.489544,0.0090713,0.19
15,25600,52.7258,0.483886,0.00845514,0.2
16,25600,52.3751,0.504948,0.00889692,0.21
17,25600,52.4793,0.486,0.00904606,0.22
18,25600,52.7022,0.506598,0.00917518,0.23
19,25600,52.7495,0.502571,0.00885956,0.24
20,25600,53.3032,0.484934,0.00843852,0.25
21,25600,51.7106,0.506288,0.00902648,0.26
22,25600,52.1672,0.516024,0.00924018,0.27
23,25600,52.2187,0.52544,0.00915838,0.28
24,25600,52.514,0.527616,0.00937236,0.29
25,25600,52.2591,0.527447,0.00869537,0.3
26,25600,52.0584,0.526852,0.00925807,0.31
27,25600,52.2932,0.539459,0.00905817,0.32
28,25600,52.8314,0.528285,0.0092038,0.33
29,25600,52.0607,0.543314,0.00909512,0.34
30,25600,52.5167,0.53604,0.00914558,0.35
31,25600,54.9105,0.5404,0.00917804,0.36
32,25600,54.7113,0.557017,0.0101804,0.37
33,25600,54.3358,0.535701,0.00879512,0.38
34,25600,53.1835,0.536739,0.00879778,0.39
35,25600,53.3021,0.530199,0.00904128,0.4
36,25600,53.1475,0.551546,0.00898592,0.41
37,25600,55.4235,0.55825,0.00873713,0.42
38,25600,55.8191,0.57266,0.00911933,0.43
39,25600,54.713,0.573456,0.00937611,0.44
1,0.44
