#,simulations,time_usage,result,std_err,theta
0,25600,228.357,0.197413,0.00279875,0.2
1,25600,223.319,0.208063,0.00306847,0.3
2,25600,204.549,0.217428,0.00316582,0.4
3,25600,180.823,0.230704,0.00343646,0.5
4,25600,152.742,0.246055,0.00388463,0.6
5,25600,127.643,0.260155,0.00402886,0.7
6,25600,114.538,0.277141,0.00436128,0.8
7,25600,104.725,0.289317,0.00462915,0.9
8,25600,91.3216,0.31047,0.00511725,1
9,25600,82.3445,0.328,0.00549233,1.1
10,25600,75.1936,0.360827,0.00640542,1.2
11,25600,68.879,0.38199,0.00695075,1.3
12,25600,63.4863,0.406048,0.00745065,1.4
13,25600,58.0326,0.457674,0.0097278,1.5
14,25600,53.1095,0.488939,0.00974518,1.6
15,25600,49.1041,0.519882,0.0103823,1.7
16,25600,45.7323,0.572752,0.0121158,1.8
17,25600,41.9792,0.604889,0.0148023,1.9
18,25600,39.4356,0.671849,0.0170344,2
19,25600,36.7461,0.743363,0.0175904,2.1
20,25600,33.6688,0.767849,0.0238172,2.2
21,25600,31.2855,0.855366,0.0222601,2.3
22,25600,29.3771,0.917037,0.0376915,2.4
