#,simulations,time_usage,result,std_err,kappa
0,25600,217.282,0.364465,0.00201752,0.2
1,25600,206.819,0.364904,0.00202323,0.3
2,25600,194.643,0.368865,0.00203475,0.4
3,25600,175.219,0.37205,0.00204275,0.5
4,25600,161.797,0.377447,0.00204973,0.6
5,25600,147.083,0.375662,0.00205749,0.7
6,25600,122.754,0.382285,0.00206008,0.8
7,25600,111.473,0.382872,0.00206769,0.9
8,25600,103.269,0.38562,0.00206696,1
9,25600,97.3768,0.388265,0.00208724,1.1
10,25600,93.4926,0.388371,0.00208179,1.2
11,25600,90.0106,0.391006,0.00208404,1.3
12,25600,86.8925,0.392057,0.00209346,1.4
13,25600,80.0882,0.394338,0.00208763,1.5
14,25600,71.0898,0.393924,0.00209188,1.6
15,25600,65.8358,0.397003,0.00209686,1.7
16,25600,61.7081,0.3954,0.00209726,1.8
17,25600,57.3725,0.394531,0.00210391,1.9
18,25600,53.0182,0.398823,0.0021099,2
19,25600,49.6027,0.399683,0.00210395,2.1
20,25600,46.0084,0.399888,0.00211256,2.2
21,25600,43.0002,0.402462,0.00210896,2.3
22,25600,40.231,0.403139,0.00211782,2.4
